Time                        SOD  RA_poshist Dec_poshist R_poshist   RA_sf   Dec_sf         R_sf  Delta_epoch Delta_R
2024-07-02 23:59:00   86340.940  317.5577 -16.2300    6886.2575  317.5682 -16.2330    6886.2084  0.11      1.262
2024-07-03 00:02:20     140.940  330.2266 -20.2114    6886.8897  330.2376 -20.2138    6886.8591  0.11      1.280
2024-07-03 00:05:40     340.940  343.4721 -23.2412    6887.7327  343.4837 -23.2428    6887.7178  0.11      1.293
2024-07-03 00:09:00     540.940  357.2056 -25.1168    6888.7541  357.2175 -25.1174    6888.7594  0.11      1.301
2024-07-03 00:12:20     740.940   11.2108 -25.6985    6889.9173   11.2228 -25.6980    6889.9442  0.12      1.303
2024-07-03 00:15:40     940.940   25.1906 -24.9412    6891.1749   25.2024 -24.9396    6891.2183  0.12      1.300
2024-07-03 00:19:00    1140.940   38.8550 -22.9064    6892.4639   38.8663 -22.9038    6892.5153  0.12      1.290
2024-07-03 00:22:20    1340.940   52.0051 -19.7458    6893.7007   52.0158 -19.7424    6893.7604  0.12      1.271
2024-07-03 00:25:40    1540.940   64.5719 -15.6680    6894.8098   64.5818 -15.6641    6894.8764  0.12      1.244
2024-07-03 00:29:00    1740.940   76.6057 -10.9046    6895.7236   76.6150 -10.9005    6895.7908  0.13      1.209
2024-07-03 00:32:20    1940.940   88.2415  -5.6881    6896.3729   88.2504  -5.6841    6896.4426  0.13      1.174
2024-07-03 00:35:40    2140.940   99.6628  -0.2437    6896.7179   99.6714  -0.2399    6896.7887  0.13      1.136
2024-07-03 00:39:00    2340.940  111.0742   5.2102    6896.7299  111.0827   5.2136    6896.8082  0.13      1.103
2024-07-03 00:42:20    2540.940  122.6814  10.4551    6896.4252  122.6899  10.4581    6896.5038  0.14      1.073
2024-07-03 00:45:40    2740.940  134.6705  15.2672    6895.8247  134.6791  15.2696    6895.9016  0.14      1.043
2024-07-03 00:49:00    2940.940  147.1822  19.4146    6894.9714  147.1909  19.4164    6895.0474  0.14      1.014
2024-07-03 00:52:20    3140.940  160.2760  22.6655    6893.9267  160.2848  22.6666    6894.0011  0.14      0.995
2024-07-03 00:55:40    3340.940  173.8948  24.8084    6892.7686  173.9037  24.8087    6892.8307  0.15      0.980
2024-07-03 00:59:00    3540.940  187.8510  25.6852    6891.5549  187.8600  25.6846    6891.6054  0.15      0.970
2024-07-03 01:02:20    3740.940  201.8607  25.2253    6890.3605  201.8694  25.2240    6890.3901  0.15      0.966
2024-07-03 01:05:40    3940.940  215.6239  23.4641    6889.2302  215.6324  23.4621    6889.2409  0.15      0.970
2024-07-03 01:09:00    4140.940  228.9147  20.5335    6888.2112  228.9231  20.5310    6888.2030  0.15      0.985
2024-07-03 01:12:20    4340.940  241.6325  16.6315    6887.3524  241.6408  16.6286    6887.3106  0.16      1.015
2024-07-03 01:15:40    4540.940  253.8021  11.9871    6886.6526  253.8104  11.9840    6886.5882  0.16      1.048
2024-07-03 01:19:00    4740.940  265.5420   6.8350    6886.1425  265.5504   6.8317    6886.0533  0.16      1.093
2024-07-03 01:22:20    4940.940  277.0271   1.4043    6885.8271  277.0360   1.4008    6885.7183  0.16      1.145
2024-07-03 01:25:40    5140.940  288.4598  -4.0830    6885.7180  288.4691  -4.0864    6885.5932  0.17      1.199
2024-07-03 01:29:00    5340.940  300.0468  -9.4060    6885.8177  300.0568  -9.4094    6885.6859  0.17      1.256
2024-07-03 01:32:20    5540.940  311.9804 -14.3395    6886.1349  311.9912 -14.3426    6886.0018  0.17      1.316
2024-07-03 01:35:40    5740.940  324.4123 -18.6508    6886.6673  324.4239 -18.6534    6886.5410  0.17      1.372
2024-07-03 01:39:00    5940.940  337.4197 -22.1052    6887.4073  337.4323 -22.1071    6887.2958  0.18      1.424
2024-07-03 01:42:20    6140.940  350.9686 -24.4847    6888.3397  350.9820 -24.4856    6888.2476  0.18      1.468
2024-07-03 01:45:40    6340.940    4.8935 -25.6186    6889.4351    4.9073 -25.6183    6889.3635  0.18      1.502
2024-07-03 01:49:00    6540.940   18.9219 -25.4195    6890.6288   18.9359 -25.4179    6890.5965  0.18      1.528
2024-07-03 01:52:20    6740.940   32.7493 -23.9046    6891.8848   32.7629 -23.9017    6891.8852  0.18      1.544
2024-07-03 01:55:40    6940.940   46.1306 -21.1914    6893.1229   46.1437 -21.1874    6893.1583  0.19      1.550
2024-07-03 01:59:00    7140.940   58.9414 -17.4693    6894.2749   58.9539 -17.4645    6894.3388  0.19      1.542
2024-07-03 02:02:20    7340.940   71.1858 -12.9639    6895.2761   71.1975 -12.9585    6895.3514  0.19      1.521
2024-07-03 02:05:40    7540.940   82.9680  -7.9087    6896.0284   82.9790  -7.9032    6896.1290  0.19      1.477
2024-07-03 02:09:00    7740.940   94.4551  -2.5324    6896.4976   94.4656  -2.5271    6896.6202  0.20      1.423
2024-07-03 02:12:20    7940.940  105.8456   2.9441    6896.6563  105.8557   2.9491    6896.7935  0.20      1.362
2024-07-03 02:15:40    8140.940  117.3471   8.3034    6896.4889  117.3570   8.3077    6896.6410  0.20      1.298
2024-07-03 02:19:00    8340.940  129.1565  13.3243    6896.0151  129.1663  13.3279    6896.1785  0.20      1.233
2024-07-03 02:22:20    8540.940  141.4374  17.7780    6895.2772  141.4471  17.7808    6895.4431  0.21      1.164
